"Source","Target","Weight"
"_3","_3.1","2.0"
"_3.1_BrLeft_2_BrRight_","_3.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_3","_3.1_BrLeft_2_BrRight_","2.0"
"_3","_3.2","2.0"
"_3.3.1","_3.3.1.1","2.0"
"_3.3.1","_3.3.1.2","2.0"
"_3.3.1","_3.3.1.3","2.0"
"_3.3.1","_3.3.1.4","2.0"
"_3.3","_3.3.1","2.0"
"_3","_3.3","2.0"
"_3.4.1","_3.4.1.1","2.0"
"_3.4.1.2","_3.4.1.2.a","2.0"
"_3.4.1.2","_3.4.1.2.b","2.0"
"_3.4.1.2","_3.4.1.2.c","2.0"
"_3.4.1","_3.4.1.2","2.0"
"_3.4.1","_3.4.1.3","2.0"
"_3.4","_3.4.1","2.0"
"_3.4.2.1","_3.4.2.1.1","2.0"
"_3.4.2.1","_3.4.2.1.2","2.0"
"_3.4.2","_3.4.2.1","2.0"
"_3.4.2.2","_3.4.2.2.1","2.0"
"_3.4.2.2","_3.4.2.2.2","2.0"
"_3.4.2.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_1","_3.4.2.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_1.C","2.0"
"_3.4.2.2.2_BrLeft_2_BrRight_","_3.4.2.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_1","2.0"
"_3.4.2.2","_3.4.2.2.2_BrLeft_2_BrRight_","2.0"
"_3.4.2","_3.4.2.2","2.0"
"_3.4.2.3","_3.4.2.3.1","2.0"
"_3.4.2.3.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_1a","_3.4.2.3.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_1a.C","2.0"
"_3.4.2.3.1_BrLeft_2_BrRight_","_3.4.2.3.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_1a","2.0"
"_3.4.2.3","_3.4.2.3.1_BrLeft_2_BrRight_","2.0"
"_3.4.2.3.2","_3.4.2.3.2.1","2.0"
"_3.4.2.3.2","_3.4.2.3.2.2","2.0"
"_3.4.2.3.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_2","_3.4.2.3.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_2.C","2.0"
"_3.4.2.3.2.2_BrLeft_2_BrRight_","_3.4.2.3.2.2_BrLeft_2_BrRight_._BrLeft_f_BrRight_2","2.0"
"_3.4.2.3.2","_3.4.2.3.2.2_BrLeft_2_BrRight_","2.0"
"_3.4.2.3.2","_3.4.2.3.2.3","2.0"
"_3.4.2.3","_3.4.2.3.2","2.0"
"_3.4.2.3.3.1","_3.4.2.3.3.1.1","2.0"
"_3.4.2.3.3","_3.4.2.3.3.1","2.0"
"_3.4.2.3.3","_3.4.2.3.3.2","2.0"
"_3.4.2.3.3","_3.4.2.3.3.3","2.0"
"_3.4.2.3.3.4","_3.4.2.3.3.4_BrLeft_2_BrRight_._BrLeft_f_BrRight_2a.C","1.0"
"_3.4.2.3.3","_3.4.2.3.3.4","2.0"
"_3.4.2.3.3.4_BrLeft_2_BrRight_._BrLeft_f_BrRight_2a","_3.4.2.3.3.4_BrLeft_2_BrRight_._BrLeft_f_BrRight_2a.C","2.0"
"_3.4.2.3.3.4_BrLeft_2_BrRight_","_3.4.2.3.3.4_BrLeft_2_BrRight_._BrLeft_f_BrRight_2a","2.0"
"_3.4.2.3.3","_3.4.2.3.3.4_BrLeft_2_BrRight_","2.0"
"_3.4.2.3.3","_3.4.2.3.3.5","2.0"
"_3.4.2.3.3.6","_3.4.2.3.3.6.1","2.0"
"_3.4.2.3.3.6.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_2b","_3.4.2.3.3.6.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_2b.C","2.0"
"_3.4.2.3.3.6.1_BrLeft_2_BrRight_","_3.4.2.3.3.6.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_2b","2.0"
"_3.4.2.3.3.6","_3.4.2.3.3.6.1_BrLeft_2_BrRight_","2.0"
"_3.4.2.3.3","_3.4.2.3.3.6","2.0"
"_3.4.2.3.3.7","_3.6.2.2.2.c","1.0"
"_3.4.2.3.3.7.1","_3.6.2.2.2","1.0"
"_3.4.2.3.3.7","_3.4.2.3.3.7.1","2.0"
"_3.4.2.3.3","_3.4.2.3.3.7","2.0"
"_3.4.2.3.3.8","_3.6.2.2.2.c","1.0"
"_3.4.2.3.3.8.1","_3.6.2.2.2.c","1.0"
"_3.4.2.3.3.8","_3.4.2.3.3.8.1","2.0"
"_3.4.2.3.3","_3.4.2.3.3.8","2.0"
"_3.4.2.3","_3.4.2.3.3","2.0"
"_3.4.2","_3.4.2.3","2.0"
"_3.4.2.4","_3.4.2.4.1","2.0"
"_3.4.2","_3.4.2.4","2.0"
"_3.4","_3.4.2","2.0"
"_3.4.3.1","_3.9","1.0"
"_3.4.3","_3.4.3.1","2.0"
"_3.4.3.2","_3.8.5","1.0"
"_3.4.3.2","_3.4.3.2.a","2.0"
"_3.4.3.2","_3.4.3.2.b","2.0"
"_3.4.3.2","_3.4.3.2.c","2.0"
"_3.4.3.2","_3.4.3.2.1","2.0"
"_3.4.3.2","_3.4.3.2.2","2.0"
"_3.4.3","_3.4.3.2","2.0"
"_3.4.3","_3.4.3.3","2.0"
"_3.4","_3.4.3","2.0"
"_3.4.4.1.1._Star__BrLeft_1_BrRight_","_3.4.4.4","1.0"
"_3.4.4.1.1","_3.4.4.1.1._Star__BrLeft_1_BrRight_","2.0"
"_3.4.4.1.1","_3.4.4.1.1._Star__BrLeft_2_BrRight_","2.0"
"_3.4.4.1.1._Star__BrLeft_3_BrRight_","_3.6.4","1.0"
"_3.4.4.1.1","_3.4.4.1.1._Star__BrLeft_3_BrRight_","2.0"
"_3.4.4.1","_3.4.4.1.1","2.0"
"_3.4.4.1.2","_3.4.4.2","1.0"
"_3.4.4.1.2","_3.4.4.1.2.1","2.0"
"_3.4.4.1","_3.4.4.1.2","2.0"
"_3.4.4","_3.4.4.1","2.0"
"_3.4.4.2.1","_3.4.4.2.1.a","2.0"
"_3.4.4.2.1","_3.4.4.2.1.b","2.0"
"_3.4.4.2.1","_3.4.4.2.1.c","2.0"
"_3.4.4.2.1","_3.4.4.2.1.d","2.0"
"_3.4.4.2.1","_3.4.4.2.1.e","2.0"
"_3.4.4.2.1","_3.4.4.2.1.1","2.0"
"_3.4.4.2","_3.4.4.2.1","2.0"
"_3.4.4.2.2","_3.4.4.2.2.1","2.0"
"_3.4.4.2.2.2","_3.8.5.3.5","1.0"
"_3.4.4.2.2","_3.4.4.2.2.2","2.0"
"_3.4.4.2.2","_3.4.4.2.2.3","2.0"
"_3.4.4.2","_3.4.4.2.2","2.0"
"_3.4.4.2.3","_3.4.4.2.3.a","2.0"
"_3.4.4.2.3","_3.4.4.2.3.b","2.0"
"_3.4.4.2.3","_3.4.4.2.3.c","2.0"
"_3.4.4.2","_3.4.4.2.3","2.0"
"_3.4.4.2.3_BrLeft_2_BrRight_","_3.16.2","1.0"
"_3.4.4.2","_3.4.4.2.3_BrLeft_2_BrRight_","2.0"
"_3.4.4","_3.4.4.2","2.0"
"_3.4.4.3","_3.4.4.3.1","2.0"
"_3.4.4.3","_3.4.4.3.2","2.0"
"_3.4.4.3","_3.4.4.3.3","2.0"
"_3.4.4","_3.4.4.3","2.0"
"_3.4.4.4","_3.4.4.4.1","2.0"
"_3.4.4.4.2.1","_3.4.4.4.2.1.a","2.0"
"_3.4.4.4.2.1","_3.4.4.4.2.1.b","2.0"
"_3.4.4.4.2.1","_3.4.4.4.2.1.c","2.0"
"_3.4.4.4.2","_3.4.4.4.2.1","2.0"
"_3.4.4.4","_3.4.4.4.2","2.0"
"_3.4.4.4.3","_3.4.4.4.3._Star__BrLeft_1_BrRight_","2.0"
"_3.4.4.4","_3.4.4.4.3","2.0"
"_3.4.4.4.3_BrLeft_2_BrRight_","_3.4.4.4.3_BrLeft_2_BrRight_._Star__BrLeft_1_BrRight_","2.0"
"_3.4.4.4","_3.4.4.4.3_BrLeft_2_BrRight_","2.0"
"_3.4.4.4.3_BrLeft_3_BrRight_","_3.4.4.4.3_BrLeft_3_BrRight_.1","2.0"
"_3.4.4.4.3_BrLeft_3_BrRight_","_3.4.4.4.3_BrLeft_3_BrRight_.2","2.0"
"_3.4.4.4","_3.4.4.4.3_BrLeft_3_BrRight_","2.0"
"_3.4.4.4","_3.4.4.4.4","2.0"
"_3.4.4.4","_3.4.4.4.5","2.0"
"_3.4.4.4.6","_3.4.4.4.6.a","2.0"
"_3.4.4.4.6.b","_3.16.2.3.1","1.0"
"_3.4.4.4.6","_3.4.4.4.6.b","2.0"
"_3.4.4.4.6.1","_3.16.2.3.1.c","1.0"
"_3.4.4.4.6.1","_3.4.4.4.6","1.0"
"_3.4.4.4.6","_3.4.4.4.6.1","2.0"
"_3.4.4.4","_3.4.4.4.6","2.0"
"_3.4.4","_3.4.4.4","2.0"
"_3.4","_3.4.4","2.0"
"_3","_3.4","2.0"
"_3.5.1","_3.5.1.1","2.0"
"_3.5","_3.5.1","2.0"
"_3.5.2","_3.5.2.1","2.0"
"_3.5.2","_3.5.2.2","2.0"
"_3.5.2.3","_3.5.3","1.0"
"_3.5.2.3","_3.17","1.0"
"_3.5.2","_3.5.2.3","2.0"
"_3.5","_3.5.2","2.0"
"_3.5.3","_3.5.3.1","2.0"
"_3.5.3.2","_3.9.3","1.0"
"_3.5.3","_3.5.3.2","2.0"
"_3.5.3","_3.5.3.3","2.0"
"_3.5.3.4","_3.5.3.4.a","2.0"
"_3.5.3.4","_3.5.3.4.b","2.0"
"_3.5.3.4","_3.5.3.4.c","2.0"
"_3.5.3.4","_3.5.3.4.d","2.0"
"_3.5.3.4","_3.5.3.4.e","2.0"
"_3.5.3.4.f","_3.5.4.2.1","1.0"
"_3.5.3.4","_3.5.3.4.f","2.0"
"_3.5.3.4","_3.5.3.4.g","2.0"
"_3.5.3.4.1","_3.5.3.4.a","1.0"
"_3.5.3.4.1","_3.5.3.4.b","1.0"
"_3.5.3.4.1","_3.5.3.4.c","1.0"
"_3.5.3.4.1","_3.5.3.4.d","1.0"
"_3.5.3.4.1","_3.5.3.4.e","1.0"
"_3.5.3.4","_3.5.3.4.1","2.0"
"_3.5.3","_3.5.3.4","2.0"
"_3.5.3.5","_3.5.3.5.a","2.0"
"_3.5.3.5","_3.5.3.5.b","2.0"
"_3.5.3.5","_3.5.3.5.c","2.0"
"_3.5.3.5","_3.5.3.5.d","2.0"
"_3.5.3.5.1","_3.5.3","1.0"
"_3.5.3.5","_3.5.3.5.1","2.0"
"_3.5.3.5.2","_3.5.5.2","1.0"
"_3.5.3.5","_3.5.3.5.2","2.0"
"_3.5.3.5.3","_3.5.3.5.3.a","2.0"
"_3.5.3.5.3","_3.5.3.5.3.b","2.0"
"_3.5.3.5.3","_3.5.3.5.3.c","2.0"
"_3.5.3.5","_3.5.3.5.3","2.0"
"_3.5.3","_3.5.3.5","2.0"
"_3.5.3.6","_3.5.3.6.a","2.0"
"_3.5.3.6","_3.5.3.6.b","2.0"
"_3.5.3.6","_3.5.3.6.c","2.0"
"_3.5.3","_3.5.3.6","2.0"
"_3.5.3.7.a","_A.3.1","1.0"
"_3.5.3.7","_3.5.3.7.a","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_1_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_2_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_3_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_4_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_5_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_6_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_7_BrRight_","2.0"
"_3.5.3.7.a_BrLeft_2_BrRight_","_3.5.3.7.a_BrLeft_2_BrRight_._Star__BrLeft_8_BrRight_","2.0"
"_3.5.3.7","_3.5.3.7.a_BrLeft_2_BrRight_","2.0"
"_3.5.3.7","_3.5.3.7.a_BrLeft_3_BrRight_","2.0"
"_3.5.3.7","_3.5.3.7.b","2.0"
"_3.5.3.7","_3.5.3.7.c","2.0"
"_3.5.3","_3.5.3.7","2.0"
"_3.5.3.8","_3.5.3.8.a","2.0"
"_3.5.3.8","_3.5.3.8.b","2.0"
"_3.5.3","_3.5.3.8","2.0"
"_3.5.3.9","_3.5.3.9.1","2.0"
"_3.5.3.9.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_3","_3.5.3.9.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_3.C","2.0"
"_3.5.3.9.1_BrLeft_2_BrRight_","_3.5.3.9.1_BrLeft_2_BrRight_._BrLeft_f_BrRight_3","2.0"
"_3.5.3.9","_3.5.3.9.1_BrLeft_2_BrRight_","2.0"
"_3.5.3","_3.5.3.9","2.0"
"_3.5.3.10","_3.5.3.10.a","2.0"
"_3.5.3.10","_3.5.3.10.b","2.0"
"_3.5.3.10","_3.5.3.10.c","2.0"
"_3.5.3.10","_3.5.3.10.d","2.0"
"_3.5.3.10.d_BrLeft_2_BrRight_._BrLeft_f_BrRight_4","_3.5.3.10.d_BrLeft_2_BrRight_._BrLeft_f_BrRight_4.C","2.0"
"_3.5.3.10.d_BrLeft_2_BrRight_","_3.5.3.10.d_BrLeft_2_BrRight_._BrLeft_f_BrRight_4","2.0"
"_3.5.3.10","_3.5.3.10.d_BrLeft_2_BrRight_","2.0"
"_3.5.3","_3.5.3.10","2.0"
"_3.5.3","_3.5.3.11","2.0"
"_3.5.3","_3.5.3.12","2.0"
"_3.5.3.13","_3.5.3.13.1","2.0"
"_3.5.3","_3.5.3.13","2.0"
"_3.5.3","_3.5.3.14","2.0"
"_3.5.3.15","_3.5.3.15.1","2.0"
"_3.5.3","_3.5.3.15","2.0"
"_3.5.3","_3.5.3.16","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_3_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_._BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_._BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_._BrLeft_c_BrRight__BrLeft_3_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_1_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_._BrLeft_2_BrRight_","2.0"
"_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","_3.5.3.16_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_._BrLeft_c_BrRight__BrLeft_2_BrRight_","2.0"
