"Source","Target","Weight"
"_5","_5.1","2.0"
"_5.1_BrLeft_2_BrRight_","_5.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_5","_5.1_BrLeft_2_BrRight_","2.0"
"_5","_5.2","2.0"
"_5.3.1","_5.3.1.1","2.0"
"_5.3.1","_5.3.1.2","2.0"
"_5.3.1.3","_5.3.1.3.1","2.0"
"_5.3.1","_5.3.1.3","2.0"
"_5.3.1","_5.3.1.4","2.0"
"_5.3","_5.3.1","2.0"
"_5.3.2","_5.3.2.1","2.0"
"_5.3.2","_5.3.2.1_BrLeft_2_BrRight_","2.0"
"_5.3.2","_5.3.2.2","2.0"
"_5.3.2","_5.3.2.2_BrLeft_2_BrRight_","2.0"
"_5.3.2","_5.3.2.3","2.0"
"_5.3.2","_5.3.2.3_BrLeft_2_BrRight_","2.0"
"_5.3.2","_5.3.2.3_BrLeft_3_BrRight_","2.0"
"_5.3.2","_5.3.2.3_BrLeft_4_BrRight_","2.0"
"_5.3.2","_5.3.2.4","2.0"
"_5.3.2","_5.3.2.4_BrLeft_2_BrRight_","2.0"
"_5.3","_5.3.2","2.0"
"_5","_5.3","2.0"
"_5.4.1.1","_5.4.1.1.a","2.0"
"_5.4.1.1","_5.4.1.1.b","2.0"
"_5.4.1.1","_5.4.1.1.c","2.0"
"_5.4.1.1","_5.4.1.1.d","2.0"
"_5.4.1","_5.4.1.1","2.0"
"_5.4.1","_5.4.1.2","2.0"
"_5.4.1","_5.4.1.3","2.0"
"_5.4","_5.4.1","2.0"
"_5.4.2.1","_5.4.2.1.a","2.0"
"_5.4.2.1","_5.4.2.1.b","2.0"
"_5.4.2.1","_5.4.2.1.c","2.0"
"_5.4.2","_5.4.2.1","2.0"
"_5.4.2.2","_3.6.1.3","1.0"
"_5.4.2","_5.4.2.2","2.0"
"_5.4.2","_5.4.2.3","2.0"
"_5.4.2.4","_5.4.3.3","1.0"
"_5.4.2","_5.4.2.4","2.0"
"_5.4","_5.4.2","2.0"
"_5.4.3.1","_5.4.4","1.0"
"_5.4.3","_5.4.3.1","2.0"
"_5.4.3","_5.4.3.2","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S0","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S0.Content","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S0","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content._BrLeft_1_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content._BrLeft_2_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content._BrLeft_3_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content._BrLeft_4_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1.Content","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_S1","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2.Content._BrLeft_1_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2.Content._BrLeft_2_BrRight_","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2.Content","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D2","2.0"
"_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D3.Content","_5.4.3.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_I_BrRight_D3.Content._BrLeft_1_BrRight_","2.0"
