"Source","Target","Weight"
"_7","_7.1","2.0"
"_7.1_BrLeft_2_BrRight_","_7.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_7","_7.1_BrLeft_2_BrRight_","2.0"
"_7","_7.2","2.0"
"_7.3.1","_7.3.1.1","2.0"
"_7.3.1","_7.3.1.2","2.0"
"_7.3.1","_7.3.1.3","2.0"
"_7.3","_7.3.1","2.0"
"_7.3.2","_7.3.2.1","2.0"
"_7.3.2","_7.3.2.2","2.0"
"_7.3.2","_7.3.2.3","2.0"
"_7.3.2","_7.3.2.4","2.0"
"_7.3.2","_7.3.2.5","2.0"
"_7.3.2","_7.3.2.6","2.0"
"_7.3.2","_7.3.2.7","2.0"
"_7.3.2","_7.3.2.8","2.0"
"_7.3.2","_7.3.2.9","2.0"
"_7.3.2","_7.3.2.10","2.0"
"_7.3.2","_7.3.2.11","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_.Term","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_.Definition","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_.Term","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_.Definition","2.0"
"_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_7.3.2.11_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","2.0"
