"Source","Target","Weight"
"_4","_4.1","2.0"
"_4.1_BrLeft_2_BrRight_","_4.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_4","_4.1_BrLeft_2_BrRight_","2.0"
"_4","_4.2","2.0"
"_4.3.1.1","_4.4","1.0"
"_4.3.1.1","_4.5","1.0"
"_4.3.1","_4.3.1.1","2.0"
"_4.3.1.2","_4.6","1.0"
"_4.3.1","_4.3.1.2","2.0"
"_4.3.1.3","_4.7","1.0"
"_4.3.1","_4.3.1.3","2.0"
"_4.3.1.4","_4.8","1.0"
"_4.3.1","_4.3.1.4","2.0"
"_4.3.1.5","_4.9","1.0"
"_4.3.1.5","_4.10","1.0"
"_4.3.1","_4.3.1.5","2.0"
"_4.3.1","_4.3.1.6","2.0"
"_4.3.1","_4.3.1.7","2.0"
"_4.3","_4.3.1","2.0"
"_4.3.2","_4.3.2.1","2.0"
"_4.3.2","_4.3.2.1_BrLeft_2_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_3_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_4_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_5_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_6_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_7_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_8_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_9_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_10_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_11_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_12_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_13_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_14_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_15_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_16_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_17_BrRight_","2.0"
"_4.3.2","_4.3.2.1_BrLeft_18_BrRight_","2.0"
"_4.3","_4.3.2","2.0"
"_4","_4.3","2.0"
"_4.4.1.1","_4.4.1.1.a","2.0"
"_4.4.1.1","_4.4.1.1.b","2.0"
"_4.4.1.1","_4.4.1.1.c","2.0"
"_4.4.1","_4.4.1.1","2.0"
"_4.4.1.2","_4.6.2","1.0"
"_4.4.1","_4.4.1.2","2.0"
"_4.4","_4.4.1","2.0"
"_4.4.2","_4.4.2.1","2.0"
"_4.4.2","_4.4.2.2","2.0"
"_4.4","_4.4.2","2.0"
"_4.4.3.1","_4.4.3.1.1","2.0"
"_4.4.3.1","_4.4.3.1.2","2.0"
"_4.4.3.1","_4.4.3.1.3","2.0"
"_4.4.3.1.4","_4.5","1.0"
"_4.4.3.1","_4.4.3.1.4","2.0"
"_4.4.3","_4.4.3.1","2.0"
"_4.4.3.2","_4.4.3.2.1","2.0"
"_4.4.3","_4.4.3.2","2.0"
"_4.4.3.3","_4.4.3.3.1","2.0"
"_4.4.3.3","_4.4.3.3.2","2.0"
"_4.4.3","_4.4.3.3","2.0"
"_4.4","_4.4.3","2.0"
"_4.4.4.1.1","_4.4.4.1.1.1","2.0"
"_4.4.4.1","_4.4.4.1.1","2.0"
"_4.4.4.1","_4.4.4.1.2","2.0"
"_4.4.4.1.3","_4.5","1.0"
"_4.4.4.1","_4.4.4.1.3","2.0"
"_4.4.4","_4.4.4.1","2.0"
"_4.4.4.2","_4.4.4.2.1","2.0"
"_4.4.4","_4.4.4.2","2.0"
"_4.4.4.3","_4.4.4.3.1","2.0"
"_4.4.4.3","_4.4.4.3.2","2.0"
"_4.4.4.3","_4.4.4.3.3","2.0"
"_4.4.4","_4.4.4.3","2.0"
"_4.4","_4.4.4","2.0"
"_4.4.5.1","_4.4.5.1.1","2.0"
"_4.4.5.1","_4.4.5.1.2","2.0"
"_4.4.5.1.3","_4.5","1.0"
"_4.4.5.1","_4.4.5.1.3","2.0"
"_4.4.5","_4.4.5.1","2.0"
"_4.4.5.2","_4.4.5.2.1","2.0"
"_4.4.5","_4.4.5.2","2.0"
"_4.4.5.3","_4.4.5.3.1","2.0"
"_4.4.5.3","_4.4.5.3.2","2.0"
"_4.4.5","_4.4.5.3","2.0"
"_4.4","_4.4.5","2.0"
"_4.4.6.1","_4.4.6.1.1","2.0"
"_4.4.6.1","_4.4.6.1.2","2.0"
"_4.4.6.1","_4.4.6.1.3","2.0"
"_4.4.6.1","_4.4.6.1.4","2.0"
"_4.4.6.1","_4.4.6.1.5","2.0"
"_4.4.6.1","_4.4.6.1.6","2.0"
"_4.4.6.1","_4.4.6.1.7","2.0"
"_4.4.6.1","_4.4.6.1.8","2.0"
"_4.4.6.1","_4.4.6.1.9","2.0"
"_4.4.6.1.10","_4.4.6.1.10.a","2.0"
"_4.4.6.1.10","_4.4.6.1.10.b","2.0"
"_4.4.6.1.10","_4.4.6.1.10.c","2.0"
"_4.4.6.1","_4.4.6.1.10","2.0"
"_4.4.6.1.11","_4.5","1.0"
"_4.4.6.1","_4.4.6.1.11","2.0"
"_4.4.6.1.12","_3.16.2.4.4","1.0"
"_4.4.6.1.12","_3.16.2.5.1","1.0"
"_4.4.6.1","_4.4.6.1.12","2.0"
"_4.4.6.1.13","_3.5.3.8.b","1.0"
"_4.4.6.1","_4.4.6.1.13","2.0"
"_4.4.6","_4.4.6.1","2.0"
"_4.4.6.2","_4.4.6.2.1","2.0"
"_4.4.6","_4.4.6.2","2.0"
"_4.4.6.3","_4.4.6.3.1","2.0"
"_4.4.6.3.2","_4.4.6.3.2.1","2.0"
"_4.4.6.3","_4.4.6.3.2","2.0"
"_4.4.6","_4.4.6.3","2.0"
"_4.4","_4.4.6","2.0"
"_4.4.7.1","_4.4.7.1.1","2.0"
"_4.4.7.1","_4.4.7.1.2","2.0"
"_4.4.7.1","_4.4.7.1.3","2.0"
