"ID","Label","Level","Implement"
"_4","4 System Requirements Sp...","1","FALSE"
"_4.1","4.1 Modification History","2","FALSE"
"_4.1_BrLeft_2_BrRight_","4.1[2]","2","FALSE"
"_4.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","4.1[2].[t]*","3","FALSE"
"_4.2","4.2 Table of Contents","2","FALSE"
"_4.3","4.3 Introduction","2","FALSE"
"_4.3.1","4.3.1 Presentation of the do...","3","FALSE"
"_4.3.1.1","4.3.1.1 This document defines ...","4","FALSE"
"_4.3.1.2","4.3.1.2 This document gives al...","4","TRUE"
"_4.3.1.3","4.3.1.3 This document describe...","4","FALSE"
"_4.3.1.4","4.3.1.4 This document describe...","4","FALSE"
"_4.3.1.5","4.3.1.5 This document describe...","4","FALSE"
"_4.3.1.6","4.3.1.6 All the tables that ar...","4","TRUE"
"_4.3.1.7","4.3.1.7 Some notes appear in t...","4","TRUE"
"_4.3.2","4.3.2 Identification of the ...","3","FALSE"
"_4.3.2.1","4.3.2.1 List of the modes:","4","TRUE"
"_4.3.2.1_BrLeft_2_BrRight_","4.3.2.1[2] Full Supervision  (FS)","4","TRUE"
"_4.3.2.1_BrLeft_3_BrRight_","4.3.2.1[3] Limited Supervision (LS)","4","TRUE"
"_4.3.2.1_BrLeft_4_BrRight_","4.3.2.1[4] On Sight   (OS)","4","TRUE"
"_4.3.2.1_BrLeft_5_BrRight_","4.3.2.1[5] Staff Responsible (SR)","4","TRUE"
"_4.3.2.1_BrLeft_6_BrRight_","4.3.2.1[6] (SH)","4","TRUE"
"_4.3.2.1_BrLeft_7_BrRight_","4.3.2.1[7] (UN)","4","TRUE"
"_4.3.2.1_BrLeft_8_BrRight_","4.3.2.1[8] Passive Shunting (PS)","4","TRUE"
"_4.3.2.1_BrLeft_9_BrRight_","4.3.2.1[9] (SL)","4","TRUE"
"_4.3.2.1_BrLeft_10_BrRight_","4.3.2.1[10] Stand By   (SB)","4","TRUE"
"_4.3.2.1_BrLeft_11_BrRight_","4.3.2.1[11] (TR)","4","TRUE"
"_4.3.2.1_BrLeft_12_BrRight_","4.3.2.1[12] Post Trip   (PT)","4","TRUE"
"_4.3.2.1_BrLeft_13_BrRight_","4.3.2.1[13] System Failure  (SF)","4","TRUE"
"_4.3.2.1_BrLeft_14_BrRight_","4.3.2.1[14] (IS)","4","TRUE"
"_4.3.2.1_BrLeft_15_BrRight_","4.3.2.1[15] No Power   (NP)","4","TRUE"
"_4.3.2.1_BrLeft_16_BrRight_","4.3.2.1[16] Non Leading  (NL)","4","TRUE"
"_4.3.2.1_BrLeft_17_BrRight_","4.3.2.1[17] National System  (SN)","4","TRUE"
"_4.3.2.1_BrLeft_18_BrRight_","4.3.2.1[18] (RV)","4","TRUE"
"_4.4","4.4 Definition of the modes","2","FALSE"
"_4.4.1","4.4.1 Introduction","3","FALSE"
"_4.4.1.1","4.4.1.1 For each mode the foll...","4","TRUE"
"_4.4.1.1.a","4.4.1.1.a The context of utilisa...","5","TRUE"
"_4.4.1.1.b","4.4.1.1.b The ERTMS/ETCS levels ...","5","TRUE"
"_4.4.1.1.c","4.4.1.1.c The related responsibi...","5","TRUE"
"_4.4.1.2","4.4.1.2 A complete list of tra...","4","TRUE"
"_4.4.2","4.4.2 General Requirements","3","FALSE"
"_4.4.2.1","4.4.2.1 When the desk is open,...","4","TRUE"
"_4.4.2.2","4.4.2.2 Intentionally deleted.","4","FALSE"
"_4.4.3","4.4.3 ISOLATION","3","FALSE"
"_4.4.3.1","4.4.3.1 Description","4","FALSE"
"_4.4.3.1.1","4.4.3.1.1 In Isolation mode, the...","5","TRUE"
"_4.4.3.1.2","4.4.3.1.2 There shall be a clear...","5","TRUE"
"_4.4.3.1.3","4.4.3.1.3 To leave Isolation mod...","5","TRUE"
"_4.4.3.1.4","4.4.3.1.4 Note: for the list of ...","5","FALSE"
"_4.4.3.2","4.4.3.2 Used in levels","4","FALSE"
"_4.4.3.2.1","4.4.3.2.1 Used in all levels: Le...","5","TRUE"
"_4.4.3.3","4.4.3.3 Responsibilities","4","FALSE"
"_4.4.3.3.1","4.4.3.3.1 Isolation of the ERTMS...","5","TRUE"
"_4.4.3.3.2","4.4.3.3.2 Once the ERTMS/ETCS on...","5","TRUE"
"_4.4.4","4.4.4 NO POWER","3","FALSE"
"_4.4.4.1","4.4.4.1 Description","4","FALSE"
"_4.4.4.1.1","4.4.4.1.1 When the ERTMS/ETCS on...","5","TRUE"
"_4.4.4.1.1.1","4.4.4.1.1.1 Note: in order to ensu...","6","FALSE"
"_4.4.4.1.2","4.4.4.1.2 The ERTMS/ETCS on-boar...","5","TRUE"
"_4.4.4.1.3","4.4.4.1.3 Note: for the list of ...","5","FALSE"
"_4.4.4.2","4.4.4.2 Used in levels","4","FALSE"
"_4.4.4.2.1","4.4.4.2.1 Used in all levels: Le...","5","TRUE"
"_4.4.4.3","4.4.4.3 Responsibilities","4","FALSE"
"_4.4.4.3.1","4.4.4.3.1 The ERTMS/ETCS on-boar...","5","TRUE"
"_4.4.4.3.2","4.4.4.3.2 The notion of responsi...","5","TRUE"
"_4.4.4.3.3","4.4.4.3.3 If it is required to m...","5","TRUE"
"_4.4.5","4.4.5 SYSTEM FAILURE","3","FALSE"
"_4.4.5.1","4.4.5.1 Description","4","FALSE"
"_4.4.5.1.1","4.4.5.1.1 The ERTMS/ETCS on-boar...","5","TRUE"
"_4.4.5.1.2","4.4.5.1.2 The ERTMS/ETCS on-boar...","5","TRUE"
"_4.4.5.1.3","4.4.5.1.3 Note: for the list of ...","5","FALSE"
"_4.4.5.2","4.4.5.2 Used in levels","4","FALSE"
"_4.4.5.2.1","4.4.5.2.1 Used in all levels: Le...","5","TRUE"
"_4.4.5.3","4.4.5.3 Responsibilities","4","FALSE"
"_4.4.5.3.1","4.4.5.3.1 The ERTMS/ETCS on-boar...","5","TRUE"
"_4.4.5.3.2","4.4.5.3.2 No responsibility of t...","5","TRUE"
"_4.4.6","4.4.6 SLEEPING","3","FALSE"
