STEP;Root/dV_ebi;Root/Vebd;Root/Vsbd;Root/C_Mode;Root/MRSP;Root/Position;;;;;;;;;;;;;;;;;;;;
1;(2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833, 2.0833);(8.8626, 8.63, 8.3765, 8.0991, 7.7943, 7.4577, 7.0833, 12.047, 11.817, 11.549, 11.257, 10.94, 10.593, 10.2, 9.7651, 9.2823, 8.7415, 8.129, 7.4248, 6.5969, 5.5868, 4.2624, 2.0833, 2.0833, 0.0);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(false, false, false, false, false, false, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true);(15.0, 11.0, 11.0, 11.0, 11.0, 11.0, 5.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 0.0, 0.0, 0.0);(1.06, 2.1836, 3.3746, 4.6371, 5.9753, 7.3938, 8.8975, 10.491, 12.181, 13.972, 15.87, 17.882, 20.015, 22.276, 24.673, 27.213, 29.906, 32.76, 35.786, 38.993, 42.392, 45.996, 49.816, 53.865, 58.156);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vebd;(8.8626;8.63;8.3765;8.0991;7.7943;7.4577;7.0833;12.047;11.817;11.549;11.257;10.94;10.593;10.2;9.7651;9.2823;8.7415;8.129;7.4248;6.5969;5.5868;4.2624;2.0833;2.0833;0.0)
;MRSP;;;;;;;;;;;;;;;;;;;;;;;;;
;dV;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
