"Source","Target","Weight"
"_6","_6.1","2.0"
"_6.1_BrLeft_2_BrRight_","_6.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_6","_6.1_BrLeft_2_BrRight_","2.0"
"_6","_6.2","2.0"
"_6.3.1","_6.3.1.1","2.0"
"_6.3.1","_6.3.1.2","2.0"
"_6.3","_6.3.1","2.0"
"_6","_6.3","2.0"
"_6.4.1","_6.4.1.1","2.0"
"_6.4","_6.4.1","2.0"
"_6.4.2","_6.4.2.1","2.0"
"_6.4.2","_6.4.2.2","2.0"
"_6.4","_6.4.2","2.0"
"_6","_6.4","2.0"
"_6.5.1.1","_6.5.1.1.1","2.0"
"_6.5.1.1","_6.5.1.1.2","2.0"
"_6.5.1.1.3","_6.5.1.1.3.1","2.0"
"_6.5.1.1","_6.5.1.1.3","2.0"
"_6.5.1","_6.5.1.1","2.0"
"_6.5.1.2.1","_3.6.2.4","1.0"
"_6.5.1.2","_6.5.1.2.1","2.0"
"_6.5.1.2.2","_3.7.1.1.b","1.0"
"_6.5.1.2.2","_3.12.4","1.0"
"_6.5.1.2.2","_3.11.6","1.0"
"_6.5.1.2","_6.5.1.2.2","2.0"
"_6.5.1.2.3","_3.7.1.1.c","1.0"
"_6.5.1.2.3","_3.11","1.0"
"_6.5.1.2","_6.5.1.2.3","2.0"
"_6.5.1.2.4","_3.7.2.4","1.0"
"_6.5.1.2","_6.5.1.2.4","2.0"
"_6.5.1.2.5","_3.7.2.4","1.0"
"_6.5.1.2","_6.5.1.2.5","2.0"
"_6.5.1.2.6","_3.9.3.2","1.0"
"_6.5.1.2","_6.5.1.2.6","2.0"
"_6.5.1.2.7","_3.9.3.8.1","1.0"
"_6.5.1.2","_6.5.1.2.7","2.0"
"_6.5.1.2.8","_3.11.3.2.2.c","1.0"
"_6.5.1.2","_6.5.1.2.8","2.0"
"_6.5.1.2.9","_3.11.3.2.3.1","1.0"
"_6.5.1.2.9","_3.11.3.2.3","1.0"
"_6.5.1.2.9","_3.11.3.2.6","1.0"
"_6.5.1.2","_6.5.1.2.9","2.0"
"_6.5.1.2.10","_3.11.5.12","1.0"
"_6.5.1.2","_6.5.1.2.10","2.0"
"_6.5.1.2.11","_3.11.9.1","1.0"
"_6.5.1.2.11","_3.12.5.1","1.0"
"_6.5.1.2.11","_3.12.5.2","1.0"
"_6.5.1.2.11","_3.12.5.4","1.0"
"_6.5.1.2.11","_3.12.5.5","1.0"
"_6.5.1.2.11","_3.12.5.6","1.0"
"_6.5.1.2.11","_3.12.5.7","1.0"
"_6.5.1.2.11","_3.15.1.2.3.1.o","1.0"
"_6.5.1.2","_6.5.1.2.11","2.0"
"_6.5.1.2.12","_3.11.11.1","1.0"
"_6.5.1.2.12","_3.11.11.2","1.0"
"_6.5.1.2","_6.5.1.2.12","2.0"
"_6.5.1.2.13","_3.12.3.4.3.2","1.0"
"_6.5.1.2","_6.5.1.2.13","2.0"
"_6.5.1.2.14","_3.12.3.1.11","1.0"
"_6.5.1.2.14","_3.12.3.5.1","1.0"
"_6.5.1.2","_6.5.1.2.14","2.0"
"_6.5.1.2.15","_3.12.4.1","1.0"
"_6.5.1.2","_6.5.1.2.15","2.0"
"_6.5.1.2.16","_3.12.4.2","1.0"
"_6.5.1.2","_6.5.1.2.16","2.0"
"_6.5.1.2.17","_3.15.1.2.3.1.p","1.0"
"_6.5.1.2","_6.5.1.2.17","2.0"
"_6.5.1","_6.5.1.2","2.0"
"_6.5.1.3","_6.5.1.3.1","2.0"
"_6.5.1","_6.5.1.3","2.0"
"_6.5.1.4","_6.5.1.4.1","2.0"
"_6.5.1","_6.5.1.4","2.0"
"_6.5.1.5.1","_7.3.3.5","1.0"
"_6.5.1.5","_6.5.1.5.1","2.0"
"_6.5.1.5.2","_7.4.1.1","1.0"
"_6.5.1.5","_6.5.1.5.2","2.0"
"_6.5.1.5.2_BrLeft_2_BrRight_","_6.5.1.5.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_6.5.1.5","_6.5.1.5.2_BrLeft_2_BrRight_","2.0"
"_6.5.1.5","_6.5.1.5.2_BrLeft_3_BrRight_","2.0"
"_6.5.1.5.3","_7.4.2.0","1.0"
"_6.5.1.5","_6.5.1.5.3","2.0"
"_6.5.1.5.4","_7.4.2.1.1","1.0"
"_6.5.1.5","_6.5.1.5.4","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_.Description","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_.Medium","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_.Variable","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_.Length","2.0"
"_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","_6.5.1.5.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","2.0"
